COMPANY NAME,CITY,LATITUDE,LONGITUDE,PRIMARY NAICS DESCRIPTION
Burger King,Kelso,46.144245,-122.900049,Limited-Service Restaurants
Burger King,Kennewick,46.197992,-119.116493,Limited-Service Restaurants
Burger King,Kennewick,46.1841,-119.17285,Limited-Service Restaurants
Burger King,Kennewick,46.225644,-119.22017,Limited-Service Restaurants
Burger King,Kent,47.380877,-122.249255,Limited-Service Restaurants
Burger King,Kent,47.400332,-122.227258,Limited-Service Restaurants
Burger King,Kent,47.393138,-122.295438,Limited-Service Restaurants
Burger King,Kent,47.374877,-122.20188,Limited-Service Restaurants
Burger King,Kirkland,47.711942,-122.18723,Limited-Service Restaurants
Burger King,Lacey,46.996547,-122.822565,Limited-Service Restaurants
Burger King,Lake Stevens,48.003294,-122.106994,Limited-Service Restaurants
Burger King,Lakewood,47.167279,-122.515854,Limited-Service Restaurants
Burger King,Lynden,48.93569,-122.48656,Limited-Service Restaurants
Burger King,Maple Valley,47.362751,-122.020826,Limited-Service Restaurants
Burger King,Monroe,47.860278,-121.972646,Limited-Service Restaurants
Burger King,Moses Lake,47.102257,-119.247994,Limited-Service Restaurants
Burger King,Moses Lake,47.138778,-119.277975,Limited-Service Restaurants
Burger King,North Bend,47.489019,-121.793275,Limited-Service Restaurants
Burger King,Oak Harbor,48.286173,-122.659084,Limited-Service Restaurants
Burger King,Olympia,47.047357,-122.824347,Limited-Service Restaurants
Burger King,Othello,46.811985,-119.17276,Limited-Service Restaurants
Burger King,Pasco,46.262968,-119.083443,Limited-Service Restaurants
Burger King,Pasco,46.241711,-119.123528,Limited-Service Restaurants
Burger King,Port Orchard,47.498052,-122.653414,Limited-Service Restaurants
Burger King,Poulsbo,47.741271,-122.639526,Limited-Service Restaurants
Burger King,Prosser,46.219702,-119.788981,Limited-Service Restaurants
Burger King,Puyallup,47.154709,-122.357723,Limited-Service Restaurants
Burger King,Puyallup,47.097317,-122.29683,Limited-Service Restaurants
Burger King,Puyallup,47.153232,-122.293565,Limited-Service Restaurants
Burger King,Puyallup,47.201943,-122.30404,Limited-Service Restaurants
Burger King,Renton,47.486997,-122.195573,Limited-Service Restaurants
Burger King,Richland,46.280834,-119.274068,Limited-Service Restaurants
Burger King,Richland,46.25717,-119.306726,Limited-Service Restaurants
Burger King,Seattle,47.724617,-122.345454,Limited-Service Restaurants
Burger King,Seattle,47.7333,-122.312206,Limited-Service Restaurants
Burger King,Seattle,47.574042,-122.329566,Limited-Service Restaurants
Burger King,Sedro Woolley,48.504672,-122.24918,Limited-Service Restaurants
Burger King,Sequim,48.079741,-123.115664,Limited-Service Restaurants
Burger King,Shelton,47.231215,-123.126733,Limited-Service Restaurants
Burger King,Silverdale,47.652526,-122.691223,Limited-Service Restaurants
Burger King,Spanaway,47.105854,-122.434022,Limited-Service Restaurants
Burger King,Spanaway,47.054687,-122.398803,Limited-Service Restaurants
Burger King,Spokane,47.673615,-117.411571,Limited-Service Restaurants
Burger King,Spokane,47.716625,-117.438307,Limited-Service Restaurants
Burger King,Spokane,47.742173,-117.408672,Limited-Service Restaurants
Burger King,Spokane Valley,47.657496,-117.235501,Limited-Service Restaurants
Burger King,Spokane Valley,47.666353,-117.191765,Limited-Service Restaurants
Burger King,Spokane Valley,47.676719,-117.281991,Limited-Service Restaurants
Burger King,Sunnyside,46.308476,-119.97785,Limited-Service Restaurants
Burger King,Tacoma,47.191379,-122.409076,Limited-Service Restaurants
Burger King,Tacoma,47.222894,-122.47482,Limited-Service Restaurants
Burger King,Tacoma,47.189191,-122.460926,Limited-Service Restaurants
Burger King,Tukwila,47.454412,-122.254715,Limited-Service Restaurants
Burger King,Tumwater,46.999857,-122.908674,Limited-Service Restaurants
Burger King,Vancouver,45.621508,-122.556623,Limited-Service Restaurants
Burger King,Vancouver,45.717681,-122.653266,Limited-Service Restaurants
Burger King,Vancouver,45.662475,-122.558715,Limited-Service Restaurants
Burger King,Vancouver,45.677124,-122.661682,Limited-Service Restaurants
Burger King,Walla Walla,46.074501,-118.310471,Limited-Service Restaurants
Burger King,Washougal,45.580993,-122.379638,Limited-Service Restaurants
Burger King,Yakima,46.605602,-120.481201,Limited-Service Restaurants
Burger King,Yakima,46.571124,-120.487288,Limited-Service Restaurants
Burger King,Yakima,46.600365,-120.588814,Limited-Service Restaurants
Burger King,Yelm,46.911149,-122.598763,Limited-Service Restaurants
Burgerville USA,Battle Ground,45.780771,-122.539581,Limited-Service Restaurants
Burgerville USA,Camas,45.585693,-122.401977,Limited-Service Restaurants
Burgerville USA,Centralia,46.725831,-122.973583,Limited-Service Restaurants
Burgerville USA,Kelso,46.146101,-122.921564,Limited-Service Restaurants
Burgerville USA,Vancouver,45.664705,-122.560561,Limited-Service Restaurants
Burgerville USA,Vancouver,45.621074,-122.551495,Limited-Service Restaurants
Burgerville USA,Vancouver,45.71784,-122.652,Limited-Service Restaurants
Burgerville USA,Vancouver,45.604919,-122.503295,Limited-Service Restaurants
Burgerville USA,Vancouver,45.638785,-122.647192,Limited-Service Restaurants
Burgerville USA,Vancouver,45.62499,-122.595072,Limited-Service Restaurants
Burgerville USA,Vancouver,45.693481,-122.6557,Limited-Service Restaurants
Burgerville USA,Woodland,45.90781,-122.739031,Limited-Service Restaurants
Cafe Amasia,Tacoma,47.254465,-122.43925,Limited-Service Restaurants
Calozzi's Cheesesteaks-Italian,Bellevue,47.61692,-122.124331,Limited-Service Restaurants
Camas Pmu LLC,Camas,45.605184,-122.406804,Limited-Service Restaurants
Camp Union Pizzeria,Seabeck,47.59369,-122.84061,Full-Service Restaurants
